name,subregion_id,area,population
Carlow-Kilkenny,2,2832.69551,151663
Cavan-Monaghan,3,2520.498834,124412
Clare,1,3433.398662,112823
Cork East,1,1659.843189,121429
Cork North-Central,1,648.6374829,124836
Cork North-West,1,2602.300967,89080
Cork South-Central,1,198.4338679,122221
Cork South-West,1,2393.225136,85302
Donegal,3,4651.572446,150657
Dublin Bay North,0,48.02026843,152943
Dublin Bay South,0,23.08061258,121176
Dublin Central,0,14.03939048,96307
Dublin Fingal,0,368.9266679,152086
Dublin Mid-West,0,104.2468704,117976
Dublin North-West,0,26.16501048,96992
Dublin Rathdown,0,69.97054174,94472
Dublin South-Central,0,26.59102897,119469
Dublin South-West,0,112.630093,150495
Dublin West,0,75.79987612,121897
D̼n Laoghaire,0,56.52646173,123546
Galway East,3,2802.07319,93651
Galway West,3,2883.491843,154354
Kerry,1,4805.793748,147707
Kildare North,2,605.4245644,122774
Kildare South,2,977.6230344,91838
Laois,2,1830.826457,92589
Limerick City,1,401.0393494,117048
Limerick County,1,2370.045251,83845
Longford-Westmeath,2,2622.468532,120962
Louth,2,911.3781063,150924
Mayo,3,5232.565243,120082
Meath East,2,1193.991433,91142
Meath West,2,1370.893946,90543
Offaly,2,2594.212053,88808
Roscommon-Galway,3,3365.300901,85022
Sligo-Leitrim,3,4339.736663,119264
Tipperary,1,3710.320543,148706
Waterford,1,1858.191136,116176
Wexford,2,2370.391575,149722
Wicklow,2,2160.629517,146926
